business_id|date|review_id|stars|text|type|user_id|cool|funny|useful
ltk2xcvDFvuljYIpMnRqAA|2013-03-16|nMJPDub9kO4XhgRGiOfvcg|4|"Part of the Grayhawk Golf Club, this restaurant is one of my favorites based on the view and atmosphere alone.  It's a beautiful setting!  In multiple visits, the food generally does not disappoint, though I have seen some inconsistency which is the main reason I cannot give 5-stars.  For example, for my last visit there I had a thick pork chop that was very nicely seasoned and cooked (great!), but the side of mashed potatoes in a bowl was just dead cold.  I had to send it back, which the server handled nicely and I ended up with a nice hot serving to finish the meal.  The one ""can't miss"" item you have to order here is the Navajo Corn Chowder - it is really good!"|review|amyk3SFr79PwUOmE0o3ZFg|1|1|1
UL3OMN_c-NXHlyb97pDifA|2012-02-27|zhBLYy3c6MXyKyBZcR-hNg|4|While visiting Fashion Square Mall, my friend suggested we splurge and have a nice dinner. After looking at the menu, we decided to try it.  I enjoyed the Mac + Cheese- which was a large portion of  chicken breast, applewood bacon, wild mushrooms, cheddar, parmesan, campanelle pasta & truffle oil. It was truly delicious and I enjoyed every bite of it. I paid extra for a ceasar salad that was nothing special, but still good.  My friend enjoyed the  Rib Eye (12oz) with garlic mashed potatoes, green beans & shallot butter. She stated it was the best steak that she had ever had. She also paid extra for a salad, and felt the same about her salad, but she also asked for extra ranch dressing, which never arrived.  My friend  also enjoyed a bikini martini that I had a taste of. It was just lovely but due to the prices of the drinks, opted to not have one.  The prices were kind of high to us, and our server didnt really give us warm fuzzy feelings, and at times we felt sort of rushed to complete our meal.  I think perhaps as a special occasion I would go again, perhaps not.  But it was definitely worth a try and the menu is diverse enough to have something cheaper.|review|dW7dXceuBcQ2UgNbEmAiZQ|0|0|0
KleJUKZjGFFhybrcpZIyHQ|2009-08-21|2lknhGeyXP1AegvMj0b9rg|5|I am so depressed! I live in the town of Cave Creek and have held Bryan's as my little secret, eating there 2 times a week for the past few months.  Now, the Arizona Republic comes out with a rave review and the place is packed.  Good news - the food is still made to order, hot (temperature) and lovely.  I have grown especially fond of the vegetarian version of a BBQ sandwich.  Even though I eat meat - I have died and gone to heaven every time I have one of Bryan's BBQ'd spaghetti squash sandwiches. Try one and you will see what I mean.  His sauces, especially the spicy one, are devine and the sides are tasty.  I always go with the fries but I love the potato salad too.  I newer addition of the Big Pig is also great if my husband is with me. Imagine a BBQ version of nachos - trading the chips with Byran's delicious fries and then loading the plate with his BBQ meat!  The place is ultra clean - thanks to all of his dedicated employees and you will find Bryan himself either behind the counter cooking or walking the floor making sure all of the diners are happy.    Only two complaints- Bryan's is closed sunday and the tv in the place is set to old movies.  If I could watch the Cardinal's play and eat a sandwich - that would be true bliss.|review|zFhCkeNQcIeyGTwX_sWP4Q|0|0|1
9UrMG4cn2nfIQsJlH8e2PQ|2014-01-18|MoE6NNf2zDrc_gnwyX-5Mg|4|Great convenient location for my favorite Asian food. The food is generally good the only thing negative I have to say is sometimes the tofu can come out soggy but most of the time it is crisp and delicious. My favorite dish is the sesame chicken with fried rice. The staff here is always friendly and they have freestyle coca cola machines at this location! Would recommend for anyone looking for fast, fresh, and tasty Asian food.|review|HVqnEnkir1iGG0185VzYRA|0|0|0
edcGkJ6qPs3lUnSz9pqoGQ|2013-10-23|29QC6OFem7h_0j9Aa-sG-A|4|Post med school interview. Perfect. All the beer was wonderful and the service was great.|review|toS7fL7_bAcPNbYiZ5PR6A|0|0|0
bF7KQ6AQK5rBS7aOFKtlWg|2009-01-29|4149su18rB2FgXJaM8f-hw|4|i go to Dilly's whenever i have the urge to slip into a carb coma because the portions are HUGE. we're talking one sandwich cut in half looks more like two full sandwiches.  i always build my own to load up on the veggies (gotta pretend like i'm being healthy). the best thing is, you could request everything but the kitchen sink in your sandwich and the price never changes. in fact, you could probably request they throw in the kitchen sink, and the price would remain the same. it seems to be one of the only places that doesn't charge a premium for avocado.  for people who like punch cards, Dilly's has one. as far as atmosphere, don't expect any. it gets crowded here during lunch and the service is not always friendly but always fast. it's a great place to go if you feel like wolfing down a gigantic sandwich before passing out at your desk.|review|9y7Ni5EInmU20ySEs8ymyw|1|1|1
3g2ofV7mhEoPyfF7vFMObA|2007-07-19|qb0xQN9aMJIg-Ftu3bky-Q|2|Perhaps it really is all about a name.  When Maloney's changed to Mulligan's a bit ago, something happened over there on Stetson that simply cannot be explained.  Its the same damn bar, the same layout, the same movie clips, the same horribly small bathrooms.  And how, HOW is there an effing BATHROOM attendant in the men's bathroom??  The room is about the size of a closet for starters, and there isnt one in the ladies room.  Oh wait, maybe there is...  Regardless, the bathroom situation is miserable, which yes, has always been the case but there are a few changes that came with the name change of the bar.  I really liked Maloney's.  It was a total frat-house bar, with a 3-1 guy girl ratio (just the way I like it) with a serious amount of beer spilling and car bomb shooting.  If you were friends with a bartender (or just happened to recognize her from last night at Kona) you could get $100 worth of drink for $7.  That kind of deal makes anyone look past the ugly guy grinding on your leg over by the dance floor.  Music was always good, old school hip hop and popular more recent stuff.  Maloney's may have been packed but the crowd was generally good looking, recent college grads, doing what they do best.  Get really really hammered.    However I was there last weekend and something was seriously wrong.  The bar didnt get even remotely busy until later, which would have been fine but the talent there left something to be desired.  The bathroom still sucks and the music isnt as good.  I've heard their happy hour is two-for-one so whenever that is might be a better time to go than after 11pm.  I doubt I'll find myself there again at any hour.  Bummer...|review|E0WWNXVze_sfDCbM0oMYvw|3|1|2
5_Il_eOuwOMMoiT8jGBxyQ|2009-06-29|oD1OAPN0GlbhwSrkABO2Cw|4|Zupa di pesch was phenom!|review|7cR92zkDv4W3kqzii6axvg|0|0|0
LQuxnV4lsdztZuaWwB4c7Q|2011-12-22|TH_6hM0p1c85R1MD16Zsig|5|After comparing prices throughout the valley, we decided to go with Pacific Auto Glass. Although i was hesitant after reading the previous reviews I decided to stick with them.   The work was done in 45 minutes and I inspected my vehicle to make sure there weren't any damages I wasn't aware of. Although the owner said it was set and ready for me to drive around, I decided to wait a couple of hours (just to play it safe). The back of the receipt states that windows should be cracked opened for at least 24hrs after the installation to let it seal correctly and that the car shouldn't be washed or go through a car wash for at least 48hrs. And yes, I followed to rules to the T (didn't wanna risk ruining anything).  I followed these rules and so far am very pleased with their work! Its been a couple of weeks now since installing the new windshield and there haven't been any leaks of any kind (its rained a couple times and I've taken it to the car wash since then. No leaks!). The owner was on time, very kind and courteous, and knew what he was doing. For the price and for how well and quickly they worked, I would definitely recommend this business to others.|review|weVZEWMyGhtbDdMGfrzWDQ|0|0|0
no_FXjscklz1SEzM_XnVgw|2009-10-07|ZawIJquldLg88R0BD7jjtA|3|We went for lunch on a weekday and having been a big Tapino fan I was a little disappointed by the limited menu.   My husband had the croque monsieur and I had the duck rillete both of which were really good and well priced but when we looked at all 3 of their menus I couldn't find anything that shouted wow I really want to go back and try this.   The staff were great, the food and atmosphere were good but I think I was expecting a more tapino-esque menu.  I know the owner/chef is very talented and  is starting over in this new location, I hope he does well.  The restaurant is small so I would recommend reservations.|review|HrMwMgstAwchQHVpj8ZmWg|0|0|0
